"","97.bam","105.bam","113.bam","91.bam","99.bam","107.bam"
"Cluster_313",21,60,9,48,100,65
"Cluster_314",7,9,0,13,10,12
"Cluster_315",1,33,10,11,34,20
"Cluster_316",12,48,7,17,51,31
"Cluster_317",15,46,12,36,60,57
"Cluster_318",0,7,0,5,9,7
"Cluster_319",10,28,1,25,45,21
"Cluster_320",17,64,6,53,73,57
"Cluster_321",0,12,0,10,24,13
"Cluster_322",4,3,2,6,9,9
"Cluster_323",9,17,0,17,34,19
"Cluster_324",4,36,3,33,60,27
"Cluster_325",11,24,5,19,34,22
"Cluster_326",4,28,3,31,31,27
"Cluster_327",45,199,25,295,606,291
"Cluster_328",250,468,101,395,115,670
"Cluster_329",491,1049,212,283,82,572
"Cluster_330",5,17,0,25,0,14
"Cluster_331",8,13,3,8,25,11
"Cluster_332",7,13,0,14,18,7
"Cluster_333",2,8,0,5,13,3
"Cluster_334",135,187,3,59,73,139
"Cluster_335",12,55,3,22,61,32
"Cluster_336",52,232,16,127,369,169
"Cluster_337",9,15,4,8,33,12
"Cluster_338",13,30,2,32,37,24
"Cluster_339",26,66,2,50,102,75
"Cluster_340",138,505,50,237,556,267
"Cluster_341",12,36,4,20,44,21
"Cluster_342",40,204,18,129,316,149
"Cluster_343",11,54,4,27,71,40
"Cluster_344",55,132,17,164,225,170
"Cluster_345",1,9,0,7,20,6
"Cluster_346",3,9,1,4,18,9
"Cluster_347",2,12,1,15,22,14
"Cluster_348",11,62,5,41,93,50
"Cluster_349",35,137,12,119,153,96
"Cluster_350",5,24,2,23,19,20
"Cluster_351",3,9,4,9,9,14
"Cluster_352",8,37,2,27,25,21
"Cluster_353",3,13,0,3,23,20
"Cluster_354",14,24,0,33,39,37
"Cluster_355",226,796,13,386,209,434
"Cluster_356",1,7,2,5,8,12
"Cluster_357",6,10,0,11,13,9
"Cluster_358",13,40,4,12,49,16
"Cluster_359",13,22,3,11,44,9
"Cluster_360",4,6,1,11,15,10
"Cluster_361",3,14,0,9,21,4
"Cluster_362",1,7,1,3,10,9
"Cluster_363",4,6,0,13,6,13
"Cluster_364",4,17,0,16,11,9
"Cluster_365",9,36,10,18,42,19
"Cluster_366",4,5,1,6,8,9
"Cluster_367",1,8,0,8,9,3
"Cluster_368",4,8,2,12,3,12
"Cluster_369",33,114,5,59,80,81
