"","97.bam","105.bam","113.bam","93.bam","101.bam","109.bam"
"Cluster_441",80,340,26,142,208,75
"Cluster_442",10,46,8,18,24,8
"Cluster_443",8,45,9,28,67,18
"Cluster_444",8,36,3,25,46,12
"Cluster_445",4,12,2,6,1,4
"Cluster_446",1,26,4,12,83,6
"Cluster_447",83,262,21,71,139,53
"Cluster_448",1,14,0,3,6,0
"Cluster_449",0,14,1,0,0,3
"Cluster_450",100,154,21,287,599,236
"Cluster_451",7,15,0,16,41,14
"Cluster_452",49,256,26,208,523,177
"Cluster_453",2,23,5,7,14,7
"Cluster_454",13,48,6,9,34,11
"Cluster_455",16,61,5,28,61,17
"Cluster_456",5,34,8,9,18,13
"Cluster_457",26,106,8,34,67,32
"Cluster_458",10,30,8,6,5,10
"Cluster_459",40,140,19,116,187,74
"Cluster_460",19,101,23,42,106,35
"Cluster_461",84,200,24,191,296,119
"Cluster_462",7,21,1,11,15,9
"Cluster_463",15,111,3,23,66,17
"Cluster_464",2419,7577,2209,2359,48320,7541
"Cluster_465",8,26,0,9,28,9
"Cluster_466",11,47,1,26,53,24
"Cluster_467",1196,3638,405,3704,8229,1975
"Cluster_468",7,12,1,16,34,10
"Cluster_469",53,106,45,74,353,60
"Cluster_470",0,20,4,6,293,16
"Cluster_471",4,17,2,21,65,9
"Cluster_472",4,12,0,10,44,19
"Cluster_473",727,1179,362,1113,3300,624
"Cluster_474",15,42,9,8,31,12
"Cluster_475",4,11,5,3,4,7
"Cluster_476",8,21,4,2,2,3
"Cluster_477",425,1746,96,351,410,234
"Cluster_478",6,45,8,29,66,18
"Cluster_479",3,22,8,26,63,17
"Cluster_480",5,10,0,5,3,2
"Cluster_481",9,4,7,3,111,15
"Cluster_482",13,31,0,33,25,7
"Cluster_483",3,16,1,10,20,4
"Cluster_484",8,16,2,19,29,15
"Cluster_485",4,16,2,22,38,12
"Cluster_486",210,1121,125,1130,1697,872
"Cluster_487",3,24,1,12,22,11
"Cluster_488",15,55,4,45,68,40
"Cluster_489",2,30,2,6,43,18
"Cluster_490",6,19,4,3,29,0
"Cluster_491",33,86,4,49,82,32
"Cluster_492",11,14,8,0,21,12
"Cluster_493",24,46,8,39,73,23
"Cluster_494",77,233,39,191,414,161
"Cluster_495",9,23,0,71,229,32
"Cluster_496",7,10,3,17,21,7
"Cluster_497",4,12,1,18,24,13
"Cluster_498",2482,13061,221,17687,13196,4400
"Cluster_499",21,159,18,105,270,66
"Cluster_500",6,25,3,18,48,12
"Cluster_501",8,22,9,13,22,10
"Cluster_502",12,50,3,23,50,17
"Cluster_503",24,99,13,66,135,48
"Cluster_504",18,317,106,164,1341,248
"Cluster_505",3,16,2,9,13,0
"Cluster_506",7,16,0,27,25,18
"Cluster_507",1,23,2,8,16,4
"Cluster_508",5,18,3,16,13,9
"Cluster_509",41,62,10,65,238,92
"Cluster_510",5,39,3,18,35,11
"Cluster_511",7,40,2,22,37,12
"Cluster_512",3,11,3,4,6,5
"Cluster_513",4,10,2,2,12,2
"Cluster_514",4,11,5,7,9,9
"Cluster_515",21,76,4,84,123,62
"Cluster_516",5,17,4,11,36,14
"Cluster_517",43,100,8,59,78,40
"Cluster_518",2,26,1,5,20,7
"Cluster_519",3,15,1,1,10,1
"Cluster_520",1,20,6,0,23,3
"Cluster_521",0,26,0,2,19,1
"Cluster_522",11,33,6,15,17,12
"Cluster_523",0,15,0,5,14,8
"Cluster_524",2,22,2,11,21,8
"Cluster_525",53,95,23,47,76,34
"Cluster_526",8,46,4,27,32,9
"Cluster_527",11,53,10,48,49,23
"Cluster_528",5,20,2,18,24,16
"Cluster_529",17,45,7,57,53,42
"Cluster_530",2,27,0,26,42,14
"Cluster_531",120,144,85,88,189,65
"Cluster_532",101,598,41,273,409,199
"Cluster_533",5,21,2,13,23,7
"Cluster_534",6,8,2,3,14,0
"Cluster_535",16,60,11,73,132,63
"Cluster_536",75,21,0,12,62,4
"Cluster_537",11,47,13,35,46,24
"Cluster_538",19,71,4,53,94,32
"Cluster_539",4,27,1,26,74,23
"Cluster_540",11,51,6,41,63,28
"Cluster_541",22,90,8,65,122,51
"Cluster_542",141,297,84,148,570,169
"Cluster_543",3,18,0,6,2,4
"Cluster_544",4,23,2,8,20,8
"Cluster_545",62,140,20,67,165,45
"Cluster_546",68,229,39,86,125,58
"Cluster_547",104,469,55,199,338,170
"Cluster_548",18,50,7,38,150,27
"Cluster_549",5,16,4,11,10,11
"Cluster_550",36,144,17,157,293,128
"Cluster_551",47,92,7,126,196,104
"Cluster_552",13,26,8,13,26,19
"Cluster_553",4,20,4,14,26,9
"Cluster_554",8,20,4,17,13,7
"Cluster_555",1,11,2,7,12,3
"Cluster_556",9,25,3,16,28,10
"Cluster_557",2,11,1,9,8,4
"Cluster_558",2,19,2,8,15,10
"Cluster_559",1,12,2,23,41,17
"Cluster_560",5,14,4,17,27,23
"Cluster_561",646,1783,183,879,1092,452
"Cluster_562",14,54,4,25,18,20
"Cluster_563",10,39,5,18,30,17
"Cluster_564",4,13,0,5,10,5
"Cluster_565",31,52,17,34,62,23
"Cluster_566",1,24,2,7,18,14
"Cluster_567",21,39,13,17,41,16
"Cluster_568",49,0,0,16,38,9
"Cluster_569",13,51,3,17,20,8
"Cluster_570",35,98,13,43,43,23
"Cluster_571",5,28,0,10,15,10
"Cluster_572",35,194,21,95,206,73
"Cluster_573",4,22,1,13,21,8
"Cluster_574",37,158,26,65,130,52
"Cluster_575",5,51,3,17,32,33
"Cluster_576",5,34,2,15,26,4
"Cluster_577",9,20,2,13,10,5
"Cluster_578",7,73,5,32,47,14
"Cluster_579",15,140,16,111,140,69
"Cluster_580",13,32,5,28,39,28
"Cluster_581",10,27,0,14,25,12
"Cluster_582",4,12,1,7,11,6
"Cluster_583",6,23,2,14,18,8
"Cluster_584",21351,64057,2010,81473,135199,58170
"Cluster_585",19,14,25,10,49,6
"Cluster_586",1,11,2,14,27,8
"Cluster_587",15,72,13,53,87,18
"Cluster_588",8,27,0,15,18,11
"Cluster_589",4,16,2,18,20,13
"Cluster_590",6,44,0,18,51,25
"Cluster_591",6,20,1,20,18,11
"Cluster_592",14,21,18,3,24,8
"Cluster_593",0,16,1,9,11,4
"Cluster_594",2,27,2,25,41,19
"Cluster_595",14,39,5,22,58,16
"Cluster_596",4,17,3,8,21,5
"Cluster_597",11,53,6,29,57,35
"Cluster_598",10,16,4,7,11,3
"Cluster_599",17,90,7,69,148,59
"Cluster_600",19,108,14,48,113,33
"Cluster_601",53,209,23,116,252,89
"Cluster_602",7,45,6,26,50,31
"Cluster_603",3,23,5,13,13,14
"Cluster_604",11,29,6,11,24,11
"Cluster_605",4,16,1,7,10,4
"Cluster_606",5,16,3,5,7,1
"Cluster_607",24,56,13,29,57,26
"Cluster_608",50,189,35,183,236,110
"Cluster_609",21,71,7,49,84,51
"Cluster_610",59,180,40,98,173,56
"Cluster_611",11,22,2,10,32,6
"Cluster_612",15,51,13,22,23,16
"Cluster_613",18,81,12,50,99,43
"Cluster_614",18,38,15,27,77,18
"Cluster_615",10,35,4,9,24,20
"Cluster_616",7,15,0,11,23,6
"Cluster_617",5,14,2,8,10,2
"Cluster_618",12,29,4,14,24,4
"Cluster_619",5,13,1,6,17,6
"Cluster_620",3,16,3,8,17,6
"Cluster_621",6,15,2,12,12,5
"Cluster_622",3647,10269,1115,4514,16802,6292
"Cluster_623",124,572,82,213,318,135
"Cluster_624",2,32,0,2,9,9
"Cluster_625",1,12,1,5,5,5
"Cluster_626",24,132,12,82,152,50
"Cluster_627",119,255,31,93,785,197
"Cluster_628",3,13,0,20,46,14
"Cluster_629",3,30,2,29,47,26
"Cluster_630",9,40,7,40,79,32
"Cluster_631",8,29,5,20,36,14
"Cluster_632",14,73,2,50,97,24
"Cluster_633",35,145,3,105,201,73
"Cluster_634",11,55,4,33,54,24
"Cluster_635",4,9,3,6,14,5
"Cluster_636",3,25,0,16,14,11
"Cluster_637",4871,8435,597,1190,1566,966
"Cluster_638",15,65,13,50,74,32
"Cluster_639",12,65,6,33,70,36
"Cluster_640",0,11,0,4,2,0
"Cluster_641",5,17,0,7,49,4
"Cluster_642",0,16,5,7,98,11
"Cluster_643",1,14,2,2,19,9
"Cluster_644",1,16,1,10,4,9
"Cluster_645",30,134,5,56,137,55
"Cluster_646",3,14,1,5,19,6
"Cluster_647",11,234,47,110,470,94
"Cluster_648",5,20,0,4,14,9
"Cluster_649",7,13,0,10,13,9
"Cluster_650",4,22,1,10,10,7
"Cluster_651",4,14,2,9,11,7
"Cluster_652",0,24,0,4,29,17
"Cluster_653",287,1335,107,739,1637,516
"Cluster_654",13,72,9,42,79,19
"Cluster_655",9,30,6,20,53,10
"Cluster_656",14,49,1,37,56,23
"Cluster_657",12,57,55,11,36,19
"Cluster_658",68,179,37,71,103,76
"Cluster_659",0,13,0,22,108,35
"Cluster_660",4,26,2,11,21,8
"Cluster_661",16,95,7,56,105,48
"Cluster_662",48,175,22,53,84,36
"Cluster_663",31,220,31,86,121,65
"Cluster_664",109,333,47,258,435,183
"Cluster_665",35,134,16,44,119,40
"Cluster_666",0,0,21,0,0,0
"Cluster_667",381,3274,113,1175,4701,1536
"Cluster_668",34,159,4,65,135,56
